"","name","minute","x","y","teamName","type"
"202","Nico Williams",11,101.43,46.512,"Spain","SavedShot"
"210","Robin Le Normand",12,97.65,35.632,"Spain","MissedShots"
"254","Declan Rice",16,82.005,33.388,"England","SavedShot"
"435","Fabián Ruiz",27,88.62,23.392,"Spain","SavedShot"
"529","Dani Olmo",34,81.585,43.452,"Spain","SavedShot"
"679","Álvaro Morata",42,98.7,42.84,"Spain","SavedShot"
"700","Harry Kane",44,89.355,36.448,"England","SavedShot"
"708","Phil Foden",45,100.275,44.268,"England","SavedShot"
"747","Nico Williams",46,95.97,43.52,"Spain","Goal"
"766","Dani Olmo",48,95.235,37.944,"Spain","MissedShots"
"877","Álvaro Morata",54,81.06,28.9,"Spain","SavedShot"
"888","Álvaro Morata",54,94.815,22.236,"Spain","MissedShots"
"898","Nico Williams",55,82.95,30.328,"Spain","MissedShots"
"1009","Jude Bellingham",63,84.735,37.128,"England","MissedShots"
"1031","Lamine Yamal",65,89.67,25.84,"Spain","SavedShot"
"1036","Aymeric Laporte",66,93.66,31.076,"Spain","SavedShot"
"1070","Fabián Ruiz",69,77.595,39.508,"Spain","MissedShots"
"1076","Ollie Watkins",69,78.015,34.544,"England","SavedShot"
"1113","Mikel Oyarzabal",71,97.335,51.612,"Spain","SavedShot"
"1121","Cole Palmer",72,84.21,24.616,"England","Goal"
"1237","Lamine Yamal",81,92.61,26.928,"Spain","SavedShot"
"1320","Mikel Oyarzabal",85,97.65,35.428,"Spain","Goal"
"1341","Declan Rice",89,93.975,30.396,"England","SavedShot"
"1343","Marc Guéhi",89,99.96,37.468,"England","SavedShot"
"1345","Declan Rice",89,96.6,34.272,"England","MissedShots"
